regime_name,entry_band,windows_triggered_ge20,total_triggered,weighted_avg_pnl,avg_median_pnl,min_median_pnl,avg_p25_pnl
STRONG_RANGE,open_m3_p2,4,362,0.9682852556328727,0.41420753970642693,-0.2127659574468103,-1.5362965759922886
STRONG_RANGE,open_m3_p1,4,315,0.9026261899276217,0.32747627994326073,-0.2127659574468103,-1.7850764278461146
BULL_RANGE,open_m3_p2,4,529,0.8465570241910999,0.1754034887511779,-0.1631321370309916,-1.9705008019244443
BULL_RANGE,open_m3_p1,4,466,0.7706011889210018,0.16626122723335263,-0.1179709005112117,-2.1338583038988985
BULL_RANGE_NEUTRAL_SCORE3,open_m3_p1,4,414,0.7845795207877511,0.0634423437765757,-0.4366812227074354,-1.8403026726706326
BULL_RANGE_NEUTRAL_SCORE3,open_m3_p2,4,472,0.9129900757258468,0.06111000512479434,-0.431106568800528,-1.7481539234164503
RANGE_NEUTRAL,open_m3_p2,4,504,0.5817989975857025,0.03725224810304255,-0.5898123324396752,-2.090378978951395
STRONG_BULL,open_m3_p1,4,151,0.4951847960926224,0.002379738438252038,-1.4844804318488571,-2.1100031582088707
BULL_RANGE_NEUTRAL,open_m3_p2,4,671,0.5820210104935707,-0.07835866609862942,-0.45806663875097897,-2.306732050146219
BULL_RANGE_NEUTRAL,open_m3_p1,4,589,0.5089685794693608,-0.1356289929902547,-0.4866180048661912,-2.4183028931647987
STRONG_BULL,open_m3_p2,4,167,0.5826910374730054,-0.14014884522132975,-1.6450179937022056,-2.3501256152555534
RANGE_NEUTRAL,open_m3_0,4,320,0.531434680362585,-0.16265598494387956,-0.554525672989713,-2.5238123336565907
BULL_RANGE,open_m3_0,4,342,0.7364774489904227,-0.1722189644104766,-0.6879145691209082,-2.4704130070628527
RANGE_NEUTRAL,open_m3_p1,4,438,0.5137205230535788,-0.2121245973572868,-1.0989010989011034,-2.2095534290195626
BULL_RANGE_NEUTRAL_SCORE3,open_m3_0,4,304,0.7903121602349401,-0.26899912591326447,-0.4866180048661912,-2.24711595535758
BULL_RANGE_NEUTRAL,open_m3_0,4,434,0.4594129088246817,-0.29926055965011045,-0.9259478579436888,-2.61835682508336
STRONG_RANGE,open_m3_0,3,228,0.9760929071966661,0.24416994124991562,0.0,-1.9098935099292638
NEUTRAL_RANGE,open_m3_p2,3,142,-0.4034687870134217,-1.0767662683945414,-1.7105263157894723,-3.130858440685208
NEUTRAL_RANGE,open_m3_p1,3,123,-0.4822574043067749,-1.2176112250728024,-2.1464275213172503,-3.2081261570112356
STRONG_BULL,open_m3_0,1,114,0.2572465325779356,-0.13102398127914516,-1.6450179937022056,-2.6626330609719586
NEUTRAL_RANGE,open_m3_0,1,92,-0.5705444035305727,-1.3470982729456216,-2.1464275213172503,-3.614641499455124
